,Customers,Sales_Amount,Transaction,Avg_Transaction_Value,DaysSinceLastPurchase,Recency,Frequency,Monetary,Segment
304,02bf9507-8a36-4be8-8588-35516c5b67a5,2075.999999999995,20,103.79999999999976,2,1,1,1,Best Customers
305,02bfaa45-71b9-4e7a-8303-352776aba6ee,1111.200000000001,16,69.45000000000006,18,1,1,1,Best Customers
306,02c1e9d1-3af4-41c8-bbcd-3577e32aa584,446.4999999999996,10,44.64999999999996,22,1,1,1,Best Customers
307,02c2b472-6877-407b-872d-355125638ba9,39.9,3,13.299999999999999,82,3,2,2,Inactive Accounts
308,02c2e868-0631-4aa5-a463-357304a72c71,6.95,1,6.95,60,2,3,3,Lappsed
309,02c3acf0-876f-4da0-a5e6-356fa334207b,3.95,1,3.95,94,3,3,3,Inactive Accounts
310,02c7e855-b082-41be-a5ca-3539020b2037,18.25,1,18.25,5,1,3,2,Recent low value
311,02c84e29-8707-42c3-9757-357e8d42f74d,4.35,1,4.35,18,1,3,3,Recent low value
312,02cb1553-d01c-44e6-9fb6-35567f0f093a,187.49999999999991,6,31.249999999999986,5,1,1,1,Best Customers
313,02cc0085-9712-4bd7-aa33-3569db2862fa,39.150000000000006,3,13.050000000000002,54,2,2,2,Lappsed
314,02cdc912-d853-4d8b-bde1-356c682390bc,0.5,1,0.5,110,3,3,3,Inactive Accounts
315,02cf2880-85d2-430d-a07f-354fcb6de313,879.2000000000007,14,62.800000000000054,42,2,1,1,Big spenders
316,02d0f7e6-d5e7-4a96-a319-35483ecc7dd1,3.95,1,3.95,101,3,3,3,Inactive Accounts
317,02d1899f-d0ee-427a-9101-3578ff127147,138.6,1,138.6,46,2,3,1,Big spenders
318,02d1fe52-d4ff-4d9e-b025-35383e2bee63,235.8999999999999,7,33.69999999999998,12,1,1,1,Best Customers
319,02d31f3d-c2ed-4ba3-bb6d-35531971c657,239.49999999999991,5,47.899999999999984,12,1,1,1,Best Customers
320,02d437b2-7df9-4f9b-bf60-357d3066f421,17.4,2,8.7,14,1,2,2,Recent low value
321,02d44b87-0389-4658-b622-35703823f78c,4.85,1,4.85,81,3,3,3,Inactive Accounts
322,02d5dd62-b2fe-4565-9bb8-353276db4413,3.95,1,3.95,12,1,3,3,Recent low value
323,02db63ed-f7e0-4d9b-946c-352f3394d009,68.00000000000001,4,17.000000000000004,11,1,2,2,Recent low value
324,02deb665-6b7f-4d55-a6ce-3570ca6c6baf,4.35,1,4.35,88,3,3,3,Inactive Accounts
325,02e0a8b6-7109-4512-8116-3569df29cb73,45.75000000000001,3,15.250000000000002,123,3,2,2,Inactive Accounts
326,02eaaab6-5748-4193-ba1f-352a9f66c189,4.35,1,4.35,13,1,3,3,Recent low value
327,02ec15b7-8899-4436-806c-355eec80d7cb,259.1999999999998,8,32.39999999999998,16,1,1,1,Best Customers
328,02ef454a-f1dd-4201-ba70-3571befa80e4,559.2000000000005,12,46.600000000000044,33,2,1,1,Big spenders
329,02f1ea79-e964-4ddd-8181-353406eba499,284.55000000000007,7,40.65000000000001,19,1,1,1,Best Customers
330,02f311ea-cbe6-4dd4-bdf7-357d5db59da8,4.35,1,4.35,19,1,3,3,Recent low value
331,02f3a21d-bd68-4e40-a48d-352e66ec55d4,87.89999999999998,3,29.299999999999994,11,1,2,1,Big spenders
332,02f4e943-b88c-43dc-973e-353c902a1606,3.95,1,3.95,103,3,3,3,Inactive Accounts
333,02f59f6e-9645-4cf7-bca3-356ae3225afb,93.75000000000003,5,18.750000000000007,111,3,1,2,Loyal Lapsed
334,02f5d704-8c9a-44de-a37f-35629c283272,19.7,2,9.85,29,2,2,2,Lappsed
335,02f83613-458e-492f-952c-354313869691,341.2000000000001,8,42.65000000000001,52,2,1,1,Big spenders
336,02f855c5-ef85-4cf7-841e-35759793d304,1283.5000000000007,17,75.50000000000004,15,1,1,1,Best Customers
337,02f8997d-eb9a-4383-a1d3-356d12181831,99.4,4,24.85,2,1,2,1,Big spenders
338,02fb88d3-cb69-4016-b066-356f732cfbe6,16.599999999999998,2,8.299999999999999,95,3,2,2,Inactive Accounts
339,02fbded1-be98-4a3e-a252-352e291a927b,54.80000000000001,4,13.700000000000003,10,1,2,2,Recent low value
340,02fc1bfc-de15-4217-a7d3-3573b38c0737,1043.1000000000045,18,57.950000000000244,3,1,1,1,Best Customers
341,03017bb4-9352-4349-845d-3525c6ec25a7,16.6,2,8.3,134,3,2,2,Inactive Accounts
342,03035caf-0aaf-4329-b5af-3542d4dd2077,17.45,1,17.45,133,3,3,2,Inactive Accounts
343,030557dc-b583-4087-8ab2-354bd81083ec,460.8,6,76.8,9,1,1,1,Best Customers
344,0307bfaf-7154-4d02-b6e8-357e28e24053,3.95,1,3.95,20,1,3,3,Recent low value
345,030b27e9-66d4-4b0c-8722-3551061cfba1,18.9,2,9.45,109,3,2,2,Inactive Accounts
346,030e470b-7f34-4072-a889-353abe242bf2,30.45,3,10.15,131,3,2,2,Inactive Accounts
347,0319fca0-a0a8-419c-9a74-352e6260a937,22.599999999999998,2,11.299999999999999,84,3,2,2,Inactive Accounts
348,031f8cb2-b363-4274-806c-35435df78dc2,241.84999999999982,7,34.549999999999976,5,1,1,1,Best Customers
349,0322256e-9041-4cac-a6a8-357b3f875d0a,6.65,1,6.65,34,2,3,3,Lappsed
350,0323ae6c-0c26-43fb-902c-355944c7a588,74.4,4,18.6,99,3,2,2,Inactive Accounts
351,0325511d-3c40-48e2-91ab-3532926390f2,38.550000000000004,3,12.850000000000001,102,3,2,2,Inactive Accounts
352,0326d455-a18d-46a6-959d-3568bcdd78bf,5.95,1,5.95,129,3,3,3,Inactive Accounts
353,03283b54-1f58-4589-a52a-353afa4d6a34,657.0000000000023,12,54.75000000000019,20,1,1,1,Best Customers
354,032dcaef-01f0-407e-8aa5-353082821feb,1985.6000000000035,16,124.10000000000022,12,1,1,1,Best Customers
355,032e6178-415d-4e6b-b5bb-354c7382f41c,20.9,2,10.45,105,3,2,2,Inactive Accounts
356,032f7848-bd57-4bfc-b722-3571cb8701f7,17.8,2,8.9,76,3,2,2,Inactive Accounts
357,032fe9e3-6f16-405e-aa1d-35664bde87a8,45.45,3,15.15,3,1,2,2,Recent low value
358,03301a0c-ea58-4479-a203-354e3ed7ffb9,4.35,1,4.35,78,3,3,3,Inactive Accounts
359,03311350-f7b4-40ce-beaf-3527128c8df7,16.599999999999998,2,8.299999999999999,30,2,2,2,Lappsed
360,033460fc-1d95-4e29-ac8b-357130dabcab,293.1999999999997,8,36.64999999999996,31,2,1,1,Big spenders
361,03347162-5259-4e5e-b1dd-357c979e6d3b,378.49999999999966,10,37.849999999999966,3,1,1,1,Best Customers
362,0335f17e-9cf6-466e-9120-3550d414a17f,3.95,1,3.95,40,2,3,3,Lappsed
363,0337169c-fbdd-4584-b33e-3554ac8b9a50,57.75000000000001,3,19.250000000000004,53,2,2,2,Lappsed
364,0337308e-7782-453d-b496-355c0ad09a0e,7.35,1,7.35,106,3,3,3,Inactive Accounts
365,0338ed6c-0c0a-4d99-9cfe-357bb8f5f5ff,9.8,1,9.8,32,2,3,2,Lappsed
366,03395319-a787-4492-8963-3572be96a798,3.95,1,3.95,78,3,3,3,Inactive Accounts
367,0339cc08-9581-4d5f-840b-3541a0758bb9,17.6,2,8.8,125,3,2,2,Inactive Accounts
368,033f15ef-f32d-44d0-99b5-3570cbaa8ef6,72.80000000000003,4,18.200000000000006,30,2,2,2,Lappsed
369,034365fc-9961-484f-83dd-35450de0a44c,853.5000000000015,15,56.9000000000001,5,1,1,1,Best Customers
370,03464386-1b13-4169-9f00-352a121f7869,2261.849999999989,17,133.04999999999936,7,1,1,1,Best Customers
371,0349aa6c-6921-421f-8d7c-3533eed1c6a9,247.5999999999998,8,30.949999999999974,46,2,1,1,Big spenders
372,034a0dfd-20ac-45df-8fa6-356209d193a8,523.9999999999994,10,52.39999999999994,45,2,1,1,Big spenders
373,034e535e-b73b-4620-8909-35688e17ee26,11.9,2,5.95,130,3,2,3,Inactive Accounts
374,034e70a5-2605-4fef-9fe2-354fa88c263e,311.1000000000001,6,51.850000000000016,31,2,1,1,Big spenders
375,0352cba9-b9a6-46b1-ad6e-3578de9b3425,10.7,2,5.35,47,2,2,3,Lappsed
376,0353836b-09bc-46d4-9aae-354d6ad85048,1.85,1,1.85,117,3,3,3,Inactive Accounts
377,03562e3c-d53c-4a40-aa1f-3540e7b0bd31,28.599999999999998,2,14.299999999999999,57,2,2,2,Lappsed
378,0358874c-2b45-4c26-963d-35399229dc71,116.80000000000003,4,29.200000000000006,8,1,2,1,Big spenders
